test pred_cost tensor([[1.7217]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.6891]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[1.7367]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[1.6426]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[1.2685]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[1.8859]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[3.8604]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[3.9492]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[5.3572]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[5.0400]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[3.7024]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[4.3435]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[4.3497]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[4.4744]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[4.6444]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[4.6761]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[4.7519]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[5.2142]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[3.7508]], device='cuda:0') label: tensor([[9.]], device='cuda:0')
test pred_cost tensor([[4.3435]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[4.3497]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[4.6444]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[4.4744]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[4.6761]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[4.7519]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[3.7024]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[5.2142]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[1.7504]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[1.7504]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[1.7504]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[0.5761]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[0.6099]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[1.7504]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[0.5761]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[0.6167]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.9114]], device='cuda:0') label: tensor([[0.7000]], device='cuda:0')
test pred_cost tensor([[0.8400]], device='cuda:0') label: tensor([[0.2000]], device='cuda:0')
